,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.40294250801469633,0.34835682384560307,-1.1566947463997044,0.24739709686341527,-1.0857093365208423,0.27982432049144956
Is_STEM,-0.616635789624744,0.04988482006231933,-12.36119101671416,4.2383017060516134e-35,-0.714408240322151,-0.5188633389273369
Social_Support_num,0.020742525932922688,0.03493832482322088,0.5936897672648772,0.5527196283727263,-0.047735332400751986,0.08922038426659737
Age,0.01117250660138652,0.006836731291656121,1.6341883459749236,0.10221930883634626,-0.002227240502237481,0.024572253705010517
Gender_num,-0.038353990515843574,0.04906634441340838,-0.7816761361452181,0.43440492968317523,-0.1345222584191621,0.057814277387474945
CGPA,0.09202694653347182,0.08636062166864576,1.0656123677127638,0.28659890608269534,-0.07723676161956325,0.2612906546865069
